Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
Dallas,Texas,Weatherford,TX,97.962,3742,"32.7759428,-96.7967532","32.7592905,-97.7972898"
Dallas,Texas,Grand Saline,TX,115.046,4202,"32.7759428,-96.7967532","32.6734791,-95.70940639999999"
Austin,TX,Dallas,Texas,314.545,10527,"30.26709799999999,-97.7430818","32.7759428,-96.7967532"
Fort Wayne,IN,Dallas,Texas,1650.409,54551,"41.0793345,-85.1393679","32.7759428,-96.7967532"
Franklinton,LA,Dallas,Texas,813.296,27516,"30.8469076,-90.152869","32.7759428,-96.7967532"
Decatur,IL,Dallas,Texas,1202.962,42396,"39.8403336,-88.95480049999999","32.7759428,-96.7967532"
Decatur,AL,Dallas,Texas,1034.455,35532,"34.6057804,-86.9835059","32.7759428,-96.7967532"
Bedford,PA,Dallas,Texas,2100.217,69758,"40.0186955,-78.50378839999999","32.7759428,-96.7967532"
De Ridder,LA,Dallas,Texas,449.169,17065,"30.8463053,-93.2890388","32.7759428,-96.7967532"
Des Plaines,IL,Dallas,Texas,1493.723,51169,"42.0334434,-87.8834036","32.7759428,-96.7967532"
Baytown,TX,Dallas,Texas,422.932,13931,"29.7355395,-94.977595","32.7759428,-96.7967532"
Delaware,OH,Dallas,Texas,1713.484,57121,"40.2987889,-83.06795559999999","32.7759428,-96.7967532"
DEKALB,IL,Dallas,Texas,1461.476,49901,"41.92950769999999,-88.7499304","32.7759428,-96.7967532"
Daleville,IN,Dallas,Texas,1528.372,50386,"40.121113,-85.5580309","32.7759428,-96.7967532"
Bedford Park,IL,Dallas,Texas,1473.085,50441,"41.7709847,-87.81737989999999","32.7759428,-96.7967532"
Crete,NE,Dallas,Texas,982.722,32325,"40.6252173,-96.9615156","32.7759428,-96.7967532"
Cromwell,KY,Dallas,Texas,1187.915,39362,"37.3403364,-86.7880836","32.7759428,-96.7967532"
Davenport,IA,Dallas,Texas,1306.427,47581,"41.5235339,-90.57763609999999","32.7759428,-96.7967532"
Dallas,Texas,Hillsboro,TX,99.098,3487,"32.7759428,-96.7967532","32.0110445,-97.1301529"
Danville,IL,Dallas,Texas,1400.75,45913,"40.1244448,-87.63002019999999","32.7759428,-96.7967532"
Dalton,GA,Dallas,Texas,1313.202,42861,"34.7698038,-84.9702951","32.7759428,-96.7967532"
Edwardsville,IL,Dallas,Texas,1056.441,36961,"38.8114609,-89.9530125","32.7759428,-96.7967532"
Elgin,IL,Dallas,Texas,1506.666,51887,"42.0354108,-88.2825641","32.7759428,-96.7967532"
El Campo,TX,Dallas,Texas,498.591,16358,"29.1965845,-96.2697771","32.7759428,-96.7967532"
El Paso,TX,Dallas,Texas,1021.988,33044,"31.7615462,-106.4847289","32.7759428,-96.7967532"
Edgerton,WI,Dallas,Texas,1548.221,52609,"42.8353328,-89.0677114","32.7759428,-96.7967532"
Edgerton,KS,Dallas,Texas,834.72,26989,"38.7649121,-95.00801969999999","32.7759428,-96.7967532"
Edmond,OK,Dallas,Texas,352.693,12072,"35.6528212,-97.4780976","32.7759428,-96.7967532"
Elkhart,IN,Dallas,Texas,1681.846,55575,"41.6873634,-85.97353","32.7759428,-96.7967532"
Elk Grove Village,IL,Dallas,Texas,1489.893,50991,"42.0039178,-87.9703483","32.7759428,-96.7967532"
Barrington,IL,Dallas,Texas,1509.961,51835,"42.1539094,-88.1360392","32.7759428,-96.7967532"
Baton Rouge,LA,Dallas,Texas,666.759,22693,"30.4488164,-91.1873488","32.7759428,-96.7967532"
Dowagiac,MI,Dallas,Texas,1677.343,55737,"41.984207,-86.1089018","32.7759428,-96.7967532"
Dothan,AL,Dallas,Texas,1189.355,42015,"31.2232192,-85.390316","32.7759428,-96.7967532"
East Point,GA,Dallas,Texas,1265.333,41186,"33.6784293,-84.4397646","32.7759428,-96.7967532"
Eau Claire,WI,Dallas,Texas,1605.321,55905,"44.8113308,-91.4984776","32.7759428,-96.7967532"
